file,word,speaker
five/9a69672b_nohash_2.wav,five,9a69672b
five/9a69672b_nohash_1.wav,five,9a69672b
five/9a69672b_nohash_4.wav,five,9a69672b
five/9a69672b_nohash_0.wav,five,9a69672b
five/9a69672b_nohash_3.wav,five,9a69672b
five/96a48d28_nohash_0.wav,five,96a48d28
five/96a48d28_nohash_3.wav,five,96a48d28
five/96a48d28_nohash_1.wav,five,96a48d28
five/96a48d28_nohash_2.wav,five,96a48d28
five/96a48d28_nohash_4.wav,five,96a48d28
five/b5552931_nohash_0.wav,five,b5552931
five/b5552931_nohash_2.wav,five,b5552931
five/b5552931_nohash_1.wav,five,b5552931
five/b5552931_nohash_3.wav,five,b5552931
five/b5552931_nohash_4.wav,five,b5552931
five/9aa21fa9_nohash_3.wav,five,9aa21fa9
five/9aa21fa9_nohash_2.wav,five,9aa21fa9
five/9aa21fa9_nohash_1.wav,five,9aa21fa9
five/9aa21fa9_nohash_4.wav,five,9aa21fa9
five/9aa21fa9_nohash_0.wav,five,9aa21fa9
five/aff582a1_nohash_0.wav,five,aff582a1
five/aff582a1_nohash_3.wav,five,aff582a1
five/aff582a1_nohash_2.wav,five,aff582a1
five/aff582a1_nohash_1.wav,five,aff582a1
five/aff582a1_nohash_4.wav,five,aff582a1
five/cd7f8c1b_nohash_1.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_2.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_0.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_4.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_3.wav,five,cd7f8c1b
five/964e8cfd_nohash_3.wav,five,964e8cfd
five/964e8cfd_nohash_2.wav,five,964e8cfd
five/964e8cfd_nohash_4.wav,five,964e8cfd
five/964e8cfd_nohash_1.wav,five,964e8cfd
five/964e8cfd_nohash_0.wav,five,964e8cfd
five/c634a189_nohash_3.wav,five,c634a189
five/c634a189_nohash_1.wav,five,c634a189
five/c634a189_nohash_4.wav,five,c634a189
five/c634a189_nohash_2.wav,five,c634a189
five/c634a189_nohash_0.wav,five,c634a189
five/d0faf7e4_nohash_4.wav,five,d0faf7e4
five/d0faf7e4_nohash_2.wav,five,d0faf7e4
five/d0faf7e4_nohash_3.wav,five,d0faf7e4
five/d0faf7e4_nohash_0.wav,five,d0faf7e4
five/d0faf7e4_nohash_1.wav,five,d0faf7e4
five/0132a06d_nohash_4.wav,five,0132a06d
five/0132a06d_nohash_3.wav,five,0132a06d
five/0132a06d_nohash_0.wav,five,0132a06d
five/0132a06d_nohash_1.wav,five,0132a06d
