file_name,word,speaker
five/c79159aa_nohash_2.wav,five,c79159aa
five/c79159aa_nohash_0.wav,five,c79159aa
five/c79159aa_nohash_4.wav,five,c79159aa
five/c79159aa_nohash_3.wav,five,c79159aa
five/c79159aa_nohash_1.wav,five,c79159aa
five/b5cf6ea8_nohash_6.wav,five,b5cf6ea8
five/b5cf6ea8_nohash_2.wav,five,b5cf6ea8
five/b5cf6ea8_nohash_3.wav,five,b5cf6ea8
five/b5cf6ea8_nohash_10.wav,five,b5cf6ea8
five/b5cf6ea8_nohash_1.wav,five,b5cf6ea8
five/229978fd_nohash_0.wav,five,229978fd
five/229978fd_nohash_1.wav,five,229978fd
five/229978fd_nohash_4.wav,five,229978fd
five/229978fd_nohash_2.wav,five,229978fd
five/229978fd_nohash_3.wav,five,229978fd
five/c1d39ce8_nohash_6.wav,five,c1d39ce8
five/c1d39ce8_nohash_5.wav,five,c1d39ce8
five/c1d39ce8_nohash_3.wav,five,c1d39ce8
five/c1d39ce8_nohash_4.wav,five,c1d39ce8
five/c1d39ce8_nohash_1.wav,five,c1d39ce8
five/b69002d4_nohash_2.wav,five,b69002d4
five/b69002d4_nohash_3.wav,five,b69002d4
five/b69002d4_nohash_0.wav,five,b69002d4
five/b69002d4_nohash_4.wav,five,b69002d4
five/b69002d4_nohash_1.wav,five,b69002d4
five/ef3367d9_nohash_2.wav,five,ef3367d9
five/ef3367d9_nohash_5.wav,five,ef3367d9
five/ef3367d9_nohash_1.wav,five,ef3367d9
five/ef3367d9_nohash_3.wav,five,ef3367d9
five/ef3367d9_nohash_0.wav,five,ef3367d9
five/c22d3f18_nohash_3.wav,five,c22d3f18
five/c22d3f18_nohash_4.wav,five,c22d3f18
five/c22d3f18_nohash_2.wav,five,c22d3f18
five/c22d3f18_nohash_0.wav,five,c22d3f18
five/c22d3f18_nohash_1.wav,five,c22d3f18
five/56eb74ae_nohash_1.wav,five,56eb74ae
five/56eb74ae_nohash_4.wav,five,56eb74ae
five/56eb74ae_nohash_2.wav,five,56eb74ae
five/56eb74ae_nohash_0.wav,five,56eb74ae
five/56eb74ae_nohash_3.wav,five,56eb74ae
five/e1469561_nohash_4.wav,five,e1469561
five/e1469561_nohash_2.wav,five,e1469561
five/e1469561_nohash_3.wav,five,e1469561
five/e1469561_nohash_0.wav,five,e1469561
five/e1469561_nohash_1.wav,five,e1469561
five/28e47b1a_nohash_1.wav,five,28e47b1a
five/28e47b1a_nohash_0.wav,five,28e47b1a
five/28e47b1a_nohash_3.wav,five,28e47b1a
five/28e47b1a_nohash_2.wav,five,28e47b1a
five/28e47b1a_nohash_4.wav,five,28e47b1a
five/eb0676ec_nohash_3.wav,five,eb0676ec
five/eb0676ec_nohash_0.wav,five,eb0676ec
five/eb0676ec_nohash_4.wav,five,eb0676ec
five/eb0676ec_nohash_1.wav,five,eb0676ec
five/eb0676ec_nohash_2.wav,five,eb0676ec
five/fa57ab3b_nohash_4.wav,five,fa57ab3b
five/fa57ab3b_nohash_2.wav,five,fa57ab3b
