file_name,vocab,speaker
yes/cce7416f_nohash_10.wav,yes,cce7416f
yes/cce7416f_nohash_9.wav,yes,cce7416f
yes/cce7416f_nohash_5.wav,yes,cce7416f
yes/cce7416f_nohash_11.wav,yes,cce7416f
yes/cce7416f_nohash_0.wav,yes,cce7416f
yes/472b8045_nohash_3.wav,yes,472b8045
yes/472b8045_nohash_1.wav,yes,472b8045
yes/472b8045_nohash_0.wav,yes,472b8045
yes/472b8045_nohash_2.wav,yes,472b8045
yes/472b8045_nohash_4.wav,yes,472b8045
yes/c1e0e8e3_nohash_0.wav,yes,c1e0e8e3
yes/c1e0e8e3_nohash_3.wav,yes,c1e0e8e3
yes/c1e0e8e3_nohash_2.wav,yes,c1e0e8e3
yes/c1e0e8e3_nohash_4.wav,yes,c1e0e8e3
yes/c1e0e8e3_nohash_1.wav,yes,c1e0e8e3
yes/2aca1e72_nohash_2.wav,yes,2aca1e72
yes/2aca1e72_nohash_0.wav,yes,2aca1e72
yes/2aca1e72_nohash_5.wav,yes,2aca1e72
yes/2aca1e72_nohash_6.wav,yes,2aca1e72
yes/2aca1e72_nohash_3.wav,yes,2aca1e72
yes/617de221_nohash_1.wav,yes,617de221
yes/617de221_nohash_2.wav,yes,617de221
yes/617de221_nohash_0.wav,yes,617de221
yes/617de221_nohash_3.wav,yes,617de221
yes/617de221_nohash_4.wav,yes,617de221
yes/8134f43f_nohash_2.wav,yes,8134f43f
yes/8134f43f_nohash_4.wav,yes,8134f43f
yes/8134f43f_nohash_0.wav,yes,8134f43f
yes/8134f43f_nohash_1.wav,yes,8134f43f
yes/8134f43f_nohash_3.wav,yes,8134f43f
yes/1b4c9b89_nohash_0.wav,yes,1b4c9b89
yes/1b4c9b89_nohash_2.wav,yes,1b4c9b89
yes/1b4c9b89_nohash_4.wav,yes,1b4c9b89
yes/1b4c9b89_nohash_1.wav,yes,1b4c9b89
yes/1b4c9b89_nohash_3.wav,yes,1b4c9b89
yes/de89e2ca_nohash_0.wav,yes,de89e2ca
yes/de89e2ca_nohash_7.wav,yes,de89e2ca
yes/de89e2ca_nohash_6.wav,yes,de89e2ca
yes/de89e2ca_nohash_2.wav,yes,de89e2ca
yes/de89e2ca_nohash_1.wav,yes,de89e2ca
yes/9886d8bf_nohash_0.wav,yes,9886d8bf
yes/9886d8bf_nohash_2.wav,yes,9886d8bf
yes/9886d8bf_nohash_4.wav,yes,9886d8bf
yes/9886d8bf_nohash_3.wav,yes,9886d8bf
yes/9886d8bf_nohash_1.wav,yes,9886d8bf
yes/5ebc1cda_nohash_0.wav,yes,5ebc1cda
yes/5ebc1cda_nohash_2.wav,yes,5ebc1cda
yes/5ebc1cda_nohash_3.wav,yes,5ebc1cda
yes/5ebc1cda_nohash_1.wav,yes,5ebc1cda
yes/5ebc1cda_nohash_4.wav,yes,5ebc1cda
yes/b4ea0d9a_nohash_0.wav,yes,b4ea0d9a
yes/b4ea0d9a_nohash_4.wav,yes,b4ea0d9a
yes/b4ea0d9a_nohash_6.wav,yes,b4ea0d9a
yes/b4ea0d9a_nohash_5.wav,yes,b4ea0d9a
yes/b4ea0d9a_nohash_7.wav,yes,b4ea0d9a
yes/a04817c2_nohash_2.wav,yes,a04817c2
yes/a04817c2_nohash_1.wav,yes,a04817c2
yes/a04817c2_nohash_4.wav,yes,a04817c2
yes/a04817c2_nohash_3.wav,yes,a04817c2
yes/a04817c2_nohash_0.wav,yes,a04817c2
yes/8e05039f_nohash_3.wav,yes,8e05039f
yes/8e05039f_nohash_2.wav,yes,8e05039f
yes/8e05039f_nohash_1.wav,yes,8e05039f
yes/8e05039f_nohash_0.wav,yes,8e05039f
yes/8e05039f_nohash_4.wav,yes,8e05039f
yes/e1469561_nohash_0.wav,yes,e1469561
