file,word,speaker
five/9a69672b_nohash_3.wav,five,9a69672b
five/9a69672b_nohash_2.wav,five,9a69672b
five/9a69672b_nohash_0.wav,five,9a69672b
five/9a69672b_nohash_4.wav,five,9a69672b
five/9a69672b_nohash_1.wav,five,9a69672b
five/96a48d28_nohash_2.wav,five,96a48d28
five/96a48d28_nohash_4.wav,five,96a48d28
five/96a48d28_nohash_1.wav,five,96a48d28
five/96a48d28_nohash_3.wav,five,96a48d28
five/96a48d28_nohash_0.wav,five,96a48d28
five/b5552931_nohash_3.wav,five,b5552931
five/b5552931_nohash_0.wav,five,b5552931
five/b5552931_nohash_1.wav,five,b5552931
five/b5552931_nohash_2.wav,five,b5552931
five/b5552931_nohash_4.wav,five,b5552931
five/9aa21fa9_nohash_4.wav,five,9aa21fa9
five/9aa21fa9_nohash_0.wav,five,9aa21fa9
five/9aa21fa9_nohash_1.wav,five,9aa21fa9
five/9aa21fa9_nohash_2.wav,five,9aa21fa9
five/9aa21fa9_nohash_3.wav,five,9aa21fa9
five/aff582a1_nohash_0.wav,five,aff582a1
five/aff582a1_nohash_1.wav,five,aff582a1
five/aff582a1_nohash_2.wav,five,aff582a1
five/aff582a1_nohash_4.wav,five,aff582a1
five/aff582a1_nohash_3.wav,five,aff582a1
five/cd7f8c1b_nohash_4.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_2.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_3.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_1.wav,five,cd7f8c1b
five/cd7f8c1b_nohash_0.wav,five,cd7f8c1b
five/964e8cfd_nohash_1.wav,five,964e8cfd
five/964e8cfd_nohash_4.wav,five,964e8cfd
five/964e8cfd_nohash_2.wav,five,964e8cfd
five/964e8cfd_nohash_3.wav,five,964e8cfd
five/964e8cfd_nohash_0.wav,five,964e8cfd
five/c634a189_nohash_3.wav,five,c634a189
five/c634a189_nohash_1.wav,five,c634a189
five/c634a189_nohash_0.wav,five,c634a189
five/c634a189_nohash_2.wav,five,c634a189
five/c634a189_nohash_4.wav,five,c634a189
five/d0faf7e4_nohash_1.wav,five,d0faf7e4
five/d0faf7e4_nohash_0.wav,five,d0faf7e4
five/d0faf7e4_nohash_2.wav,five,d0faf7e4
five/d0faf7e4_nohash_3.wav,five,d0faf7e4
five/d0faf7e4_nohash_4.wav,five,d0faf7e4
five/0132a06d_nohash_2.wav,five,0132a06d
five/0132a06d_nohash_1.wav,five,0132a06d
five/0132a06d_nohash_4.wav,five,0132a06d
five/0132a06d_nohash_0.wav,five,0132a06d
five/0132a06d_nohash_3.wav,five,0132a06d
five/8830e17f_nohash_3.wav,five,8830e17f
five/8830e17f_nohash_0.wav,five,8830e17f
five/8830e17f_nohash_1.wav,five,8830e17f
five/8830e17f_nohash_2.wav,five,8830e17f
five/8830e17f_nohash_4.wav,five,8830e17f
five/b9f46737_nohash_1.wav,five,b9f46737
five/b9f46737_nohash_2.wav,five,b9f46737
five/b9f46737_nohash_0.wav,five,b9f46737
five/b9f46737_nohash_3.wav,five,b9f46737
five/b9f46737_nohash_4.wav,five,b9f46737
five/28ed6bc9_nohash_4.wav,five,28ed6bc9
five/28ed6bc9_nohash_1.wav,five,28ed6bc9
five/28ed6bc9_nohash_2.wav,five,28ed6bc9
five/28ed6bc9_nohash_0.wav,five,28ed6bc9
five/28ed6bc9_nohash_3.wav,five,28ed6bc9
five/e7ea8b76_nohash_0.wav,five,e7ea8b76
five/e7ea8b76_nohash_5.wav,five,e7ea8b76
five/e7ea8b76_nohash_3.wav,five,e7ea8b76
five/e7ea8b76_nohash_6.wav,five,e7ea8b76
five/e7ea8b76_nohash_4.wav,five,e7ea8b76
five/b87bdb22_nohash_3.wav,five,b87bdb22
five/b87bdb22_nohash_1.wav,five,b87bdb22
five/b87bdb22_nohash_4.wav,five,b87bdb22
five/b87bdb22_nohash_0.wav,five,b87bdb22
five/b87bdb22_nohash_2.wav,five,b87bdb22
five/f5733968_nohash_2.wav,five,f5733968
five/f5733968_nohash_3.wav,five,f5733968
five/f5733968_nohash_0.wav,five,f5733968
five/f5733968_nohash_4.wav,five,f5733968
five/f5733968_nohash_1.wav,five,f5733968
five/10ace7eb_nohash_0.wav,five,10ace7eb
five/10ace7eb_nohash_2.wav,five,10ace7eb
five/10ace7eb_nohash_4.wav,five,10ace7eb
five/10ace7eb_nohash_3.wav,five,10ace7eb
five/10ace7eb_nohash_1.wav,five,10ace7eb
five/94de6a6a_nohash_4.wav,five,94de6a6a
five/94de6a6a_nohash_1.wav,five,94de6a6a
five/94de6a6a_nohash_0.wav,five,94de6a6a
five/94de6a6a_nohash_2.wav,five,94de6a6a
five/94de6a6a_nohash_3.wav,five,94de6a6a
five/be7a5b2d_nohash_1.wav,five,be7a5b2d
five/be7a5b2d_nohash_0.wav,five,be7a5b2d
five/be7a5b2d_nohash_3.wav,five,be7a5b2d
five/be7a5b2d_nohash_2.wav,five,be7a5b2d
five/be7a5b2d_nohash_4.wav,five,be7a5b2d
five/3e31dffe_nohash_1.wav,five,3e31dffe
five/3e31dffe_nohash_4.wav,five,3e31dffe
five/3e31dffe_nohash_2.wav,five,3e31dffe
five/3e31dffe_nohash_3.wav,five,3e31dffe
five/3e31dffe_nohash_0.wav,five,3e31dffe
five/f953e1af_nohash_2.wav,five,f953e1af
five/f953e1af_nohash_3.wav,five,f953e1af
five/f953e1af_nohash_1.wav,five,f953e1af
five/f953e1af_nohash_0.wav,five,f953e1af
five/f953e1af_nohash_4.wav,five,f953e1af
five/7c1d8533_nohash_2.wav,five,7c1d8533
five/7c1d8533_nohash_0.wav,five,7c1d8533
five/7c1d8533_nohash_3.wav,five,7c1d8533
five/7c1d8533_nohash_1.wav,five,7c1d8533
five/7c1d8533_nohash_4.wav,five,7c1d8533
five/6727b579_nohash_4.wav,five,6727b579
five/6727b579_nohash_3.wav,five,6727b579
five/6727b579_nohash_1.wav,five,6727b579
five/6727b579_nohash_0.wav,five,6727b579
five/6727b579_nohash_2.wav,five,6727b579
five/37dca74f_nohash_4.wav,five,37dca74f
five/37dca74f_nohash_3.wav,five,37dca74f
five/37dca74f_nohash_2.wav,five,37dca74f
five/37dca74f_nohash_0.wav,five,37dca74f
five/37dca74f_nohash_1.wav,five,37dca74f
five/179a61b7_nohash_0.wav,five,179a61b7
five/179a61b7_nohash_2.wav,five,179a61b7
five/179a61b7_nohash_4.wav,five,179a61b7
five/179a61b7_nohash_1.wav,five,179a61b7
five/179a61b7_nohash_3.wav,five,179a61b7
